start,end,word
0.0,0.3,Start
0.3,0.56,with
0.56,0.92,Venue
0.92,1.4,Intelligence.
3.48,4.12,Think
4.12,4.26,of
4.26,4.36,it
4.36,4.5,as
4.5,4.76,building
4.76,4.96,a
4.96,5.3,digital
5.3,5.74,blueprint
5.74,6.06,of
6.06,6.18,your
6.18,6.5,venue.
7.22,7.86,Not
7.86,8.08,just
8.08,8.26,what
8.26,8.4,your
8.4,8.68,venue
8.68,9.08,"is,"
9.24,9.52,but
9.52,9.72,who
9.72,9.9,it's
9.9,10.2,for.
11.94,12.58,Studio
12.58,13.04,AI
13.04,13.54,learns
13.54,13.7,your
13.7,14.12,"spaces,"
14.44,14.7,your
14.7,15.1,"packages,"
15.56,15.74,your
15.74,16.2,"pricing,"
16.64,16.82,your
16.82,17.24,story.
18.74,19.38,And
19.38,19.5,the
19.5,19.82,couples
19.82,20.12,most
20.12,20.44,likely
20.44,20.62,to
20.62,20.92,"book,"
21.1,21.42,their
21.42,22.0,"priorities,"
22.48,22.68,their
22.68,23.22,"preferences,"
23.8,23.98,their
23.98,24.34,buying
24.34,24.82,journey.
26.72,27.44,Added
27.44,27.9,"once,"
28.16,28.72,used
28.72,29.28,everywhere.
30.66,31.38,So
31.38,31.64,every
31.64,31.88,piece
31.88,32.02,of
32.02,32.44,"content,"
32.82,33.28,every
33.28,33.66,nurture
33.66,34.2,"message,"
34.62,34.84,every
34.84,35.52,recommendation
35.52,36.28,and
36.28,36.52,every
36.52,37.06,conversation
37.06,37.36,is
37.36,37.72,tailored
37.72,38.02,to
38.02,38.18,your
38.18,38.56,venue
38.56,38.92,and
38.92,39.04,the
39.04,39.4,couples
39.4,39.6,you
39.6,39.78,want
39.78,40.0,more
40.0,40.28,of.
