start,end,word
0.0,0.22,Then
0.22,0.62,define
0.62,0.88,your
0.88,1.2,brand
1.2,1.72,voice.
1.92,2.46,Because
2.46,2.72,every
2.72,3.04,venue
3.04,3.26,is
3.26,3.76,"unique,"
4.32,4.58,Studio
4.58,5.04,AI
5.04,5.48,learns
5.48,5.64,the
5.64,6.24,personality
6.24,6.6,behind
6.6,6.88,your
6.88,7.24,"venue,"
7.5,7.8,the
7.8,8.1,words
8.1,8.28,you
8.28,8.72,"use,"
8.96,9.24,the
9.24,9.48,words
9.48,9.62,you
9.62,10.02,"avoid,"
10.42,10.68,the
10.68,10.98,tone
10.98,11.16,you
11.16,11.36,want
11.36,11.62,across
11.62,11.88,your
11.88,12.38,"website,"
12.74,13.4,"brochures,"
13.76,14.16,emails
14.16,14.44,and
14.44,14.8,social
14.8,15.24,media.
16.36,17.08,Historic
17.08,17.54,"charm,"
18.06,18.6,effortless
18.6,19.1,"luxury,"
19.7,20.14,relaxed
20.14,20.4,and
20.4,21.0,"rustic,"
21.42,21.82,modern
21.82,22.32,and
22.32,22.88,minimalist.
24.94,25.66,Whatever
25.66,26.02,makes
26.02,26.16,your
26.16,26.48,venue
26.48,27.04,"distinctive,"
27.5,28.06,every
28.06,28.36,piece
28.36,28.52,of
28.52,28.94,content
28.94,29.26,is
29.26,29.54,written
29.54,29.76,in
29.76,29.86,a
29.86,30.14,voice
30.14,30.32,that
30.32,30.76,feels
30.76,31.82,unmistakably
31.82,32.28,yours.
33.68,34.4,Not
34.4,34.88,"generic,"
35.4,35.66,not
35.66,36.18,"robotic,"
36.64,37.08,because
37.08,37.46,couples
37.46,37.68,can
37.68,37.88,tell
37.88,38.02,the
38.02,38.38,difference.
