start,end,word
0.0,0.26,Most
0.26,0.6,venues
0.6,0.9,don't
0.9,1.18,lose
1.18,1.64,bookings
1.64,1.92,because
1.92,2.12,their
2.12,2.46,venue
2.46,2.74,isn't
2.74,2.86,good
2.86,3.24,enough.
3.42,3.74,They
3.74,3.96,lose
3.96,4.46,bookings
4.46,4.72,because
4.72,4.9,the
4.9,5.4,conversation
5.4,5.9,stops.
7.32,8.08,An
8.08,8.6,enquiry
8.6,9.14,"arrives,"
9.36,9.6,a
9.6,10.02,brochure
10.02,10.3,gets
10.3,10.68,"sent,"
11.02,11.26,then
11.26,13.04,nothing.
14.1,14.86,For
14.86,15.26,"days,"
15.58,15.98,sometimes
15.98,16.5,weeks.
18.0,18.76,We
18.76,19.32,analysed
19.32,19.6,wedding
19.6,19.98,industry
19.98,20.64,"research,"
20.96,21.32,marketing
21.32,21.9,science
21.9,22.54,and
22.54,22.96,thousands
22.96,23.24,of
23.24,23.52,real
23.52,23.92,venue
23.92,24.5,enquiry
24.5,24.86,journeys
24.86,25.12,to
25.12,25.52,understand
25.52,25.8,what
25.8,26.26,actually
26.26,26.68,moves
26.68,27.04,couples
27.04,27.3,towards
27.3,27.72,a
27.72,28.0,booking.
30.0,30.34,Already
30.34,30.64,have
30.64,30.76,a
30.76,31.06,nurture
31.06,31.7,sequence?
31.88,32.42,Audit
32.42,32.66,it.
32.94,33.4,We'll
33.4,33.68,score
33.68,34.06,every
34.06,34.42,message
34.42,34.78,against
34.78,35.08,best
35.08,35.56,practice
35.56,35.86,and
35.86,36.36,identify
36.36,37.04,opportunities
37.04,37.34,to
37.34,37.84,improve.
39.24,39.96,Starting
39.96,40.18,from
40.18,40.66,"scratch,"
41.08,41.38,Studio
41.38,41.84,AI
41.84,42.22,can
42.22,42.42,build
42.42,42.56,an
42.56,43.02,entire
43.02,43.74,enquiry
43.74,44.1,journey
44.1,44.34,for
44.34,44.56,you
44.56,45.16,automatically.
46.5,46.86,We
46.86,47.18,already
47.18,47.44,know
47.44,47.64,your
47.64,47.96,"venue,"
48.26,48.48,your
48.48,48.88,ideal
48.88,49.28,"couple,"
49.74,49.9,your
49.9,50.4,"pricing,"
50.88,51.08,your
51.08,51.46,brand
51.46,51.9,voice.
52.16,52.66,We
52.66,52.94,simply
52.94,53.26,ask
53.26,53.42,a
53.42,53.6,few
53.6,54.12,practical
54.12,54.72,questions.
55.94,56.68,Do
56.68,56.84,you
56.84,57.24,collect
57.24,57.58,wedding
57.58,58.06,dates?
58.26,58.72,Do
58.72,58.86,you
58.86,59.08,offer
59.08,59.5,virtual
59.5,59.96,tours?
60.32,60.86,Which
60.86,61.54,communication
61.54,62.06,channels
62.06,62.26,do
62.26,62.4,you
62.4,62.88,use?
63.08,63.52,And
63.52,63.72,whether
63.72,64.1,couples
64.1,64.36,can
64.36,64.56,book
64.56,64.74,an
64.74,65.26,introductory
65.26,65.84,call?
65.84,65.84,Do
65.84,65.84,you
65.84,65.84,like
65.84,65.84,to
65.84,65.84,watch
65.84,65.84,an
65.84,65.86,award
65.86,65.86,award
65.86,65.86,award
65.86,65.88,award
65.88,65.88,award
65.88,65.88,award
65.88,65.88,award
65.88,65.88,award
65.88,65.94,award
65.94,65.94,award
65.94,65.94,award
65.94,65.94,award
65.94,65.94,award
65.94,65.94,award
65.94,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.96,award
65.96,65.98,award
65.98,66.0,award
66.0,66.02,award
66.02,66.02,award
66.02,66.02,award
66.02,66.02,award
66.02,66.02,award
66.02,66.02,award
