start,end,word
0.0,0.28,Then
0.28,0.74,Studio
0.74,1.14,AI
1.14,1.5,gets
1.5,1.64,to
1.64,2.02,"work,"
2.28,3.02,building
3.02,3.38,every
3.38,3.74,message
3.74,4.0,around
4.0,4.2,your
4.2,4.52,venue.
6.86,7.62,Not
7.62,7.76,a
7.76,8.1,generic
8.1,8.58,"template,"
8.94,9.16,not
9.16,9.28,a
9.28,9.56,copy
9.56,9.72,and
9.72,10.0,paste
10.0,10.48,"campaign,"
10.76,11.08,a
11.08,11.48,complete
11.48,11.86,nurture
11.86,12.26,journey
12.26,12.66,designed
12.66,13.28,specifically
13.28,13.6,for
13.6,13.76,your
13.76,14.2,enquiry
14.2,14.74,process.
16.24,17.0,Every
17.0,17.32,message
17.32,17.58,has
17.58,17.68,a
17.68,18.14,purpose.
18.76,19.22,"Acknowledge,"
19.5,19.92,"orient,"
20.44,21.1,"reassure,"
21.64,21.94,prompt
21.94,22.44,"action,"
23.04,23.82,"reactivate,"
24.38,24.72,rescue
24.72,25.32,opportunities
25.32,25.66,that
25.66,25.8,would
25.8,26.26,otherwise
26.26,26.9,disappear.
28.08,28.84,The
28.84,29.12,happy
29.12,29.52,path
29.52,29.92,guides
29.92,30.28,couples
30.28,30.56,from
30.56,31.36,"enquiry,"
31.6,32.04,to
32.04,32.34,tour
32.34,32.68,"booking,"
33.02,33.28,to
33.28,33.64,venue
33.64,34.08,visit
34.08,34.84,and
34.84,35.36,ultimately
35.36,35.84,towards
35.84,36.26,choosing
36.26,36.48,your
36.48,36.84,venue.
38.14,38.9,But
38.9,39.12,not
39.12,39.5,every
39.5,39.82,couple
39.82,40.08,is
40.08,40.42,"ready,"
40.6,40.98,straight
40.98,41.38,away.
41.78,42.22,That's
42.22,42.36,where
42.36,42.5,the
42.5,42.98,recovery
42.98,43.46,paths
43.46,43.78,come
43.78,44.02,in.
44.24,44.96,Thoughtful
44.96,45.26,follow
45.26,45.54,"-up,"
45.74,46.32,additional
46.32,46.62,touch
46.62,47.0,points
47.0,47.62,and
47.62,48.14,carefully
48.14,48.58,timed
48.58,49.08,messages
49.08,49.46,that
49.46,49.7,keep
49.7,49.9,your
49.9,50.22,venue
50.22,50.52,front
50.52,50.68,of
50.68,51.1,mind
51.1,51.56,without
51.56,52.06,becoming
52.06,52.58,pushy.
54.32,55.12,Every
55.12,55.66,"email,"
56.04,56.58,SMS
56.58,57.12,and
57.12,57.48,WhatsApp
57.48,58.1,message
58.1,58.72,includes
58.72,58.96,the
58.96,59.38,strategy
59.38,59.74,behind
59.74,60.12,"it,"
60.32,60.86,why
60.86,61.04,it
61.04,61.62,"exists,"
61.86,62.28,what
62.28,62.48,it's
62.48,62.9,designed
62.9,63.18,to
63.18,63.66,achieve
63.66,64.32,and
64.32,64.46,what
64.46,64.6,it
64.6,64.76,should
64.76,65.16,avoid.
65.7,66.5,So
66.5,66.68,you're
66.68,66.9,never
66.9,67.32,blindly
67.32,67.74,trusting
67.74,68.12,AI.
68.52,68.96,You're
68.96,69.32,reviewing
69.32,69.52,a
69.52,69.98,process
69.98,70.3,built
70.3,70.5,on
70.5,70.86,proven
70.86,71.48,conversion
71.48,71.88,principles.
73.94,74.62,Personalisation
74.62,75.08,fields
75.08,75.34,are
75.34,75.6,mapped
75.6,76.36,"automatically,"
76.76,77.22,making
77.22,77.44,it
77.44,77.76,simple
77.76,77.96,to
77.96,78.38,export
78.38,78.66,your
78.66,79.08,sequence
79.08,79.4,into
79.4,79.54,the
79.54,79.9,Venue
79.9,80.08,Bot
80.08,80.36,Care
80.36,81.38,"CRM,"
81.5,82.02,or
82.02,82.24,other
82.24,83.06,CRMs
83.06,83.4,such
83.4,83.56,as
83.56,84.18,"HubSpot,"
84.36,84.76,Active
84.76,85.26,"Campaign,"
85.62,86.3,MailChimp.
88.12,88.8,Because
88.8,89.1,great
89.1,89.54,venues
89.54,89.98,deserve
89.98,90.4,great
90.4,90.76,follow
90.76,91.06,"-up,"
91.2,91.54,and
91.54,91.66,the
91.66,92.0,venues
92.0,92.22,that
92.22,92.86,consistently
92.86,93.2,win
93.2,93.44,more
93.44,94.04,bookings
94.04,94.54,aren't
94.54,94.8,always
94.8,95.0,the
95.0,95.22,most
95.22,95.64,beautiful.
95.64,96.4,They're
96.4,96.76,usually
96.76,96.94,the
96.94,97.22,ones
97.22,97.42,that
97.42,97.68,stay
97.68,97.86,in
97.86,97.96,touch.
97.96,97.96,They're
97.96,97.96,usually
97.96,97.96,the
97.96,97.96,ones
97.96,97.96,that
97.96,97.96,stay
97.96,97.96,in
97.96,98.04,touch.
