start,end,word
0.0,0.24,Your
0.24,0.7,brochure
0.7,0.9,is
0.9,1.1,often
1.1,1.28,the
1.28,1.68,first
1.68,2.06,real
2.06,2.44,piece
2.44,2.6,of
2.6,2.74,your
2.74,3.08,venue
3.08,3.36,a
3.36,3.62,couple
3.62,3.96,takes
3.96,4.22,away
4.22,4.44,with
4.44,4.64,"them,"
4.86,5.24,the
5.24,5.48,thing
5.48,5.66,they
5.66,6.04,read
6.04,6.2,on
6.2,6.3,the
6.3,6.72,"sofa,"
7.16,7.72,share
7.72,7.96,with
7.96,8.16,their
8.16,8.64,"partner,"
9.24,9.54,compare
9.54,9.96,against
9.96,10.38,every
10.38,10.64,other
10.64,11.0,venue
11.0,11.24,on
11.24,11.4,their
11.4,12.04,shortlist.
12.96,13.66,Yet
13.66,14.1,most
14.1,14.8,brochures
14.8,15.12,are
15.12,15.36,never
15.36,15.86,"reviewed,"
16.3,16.7,tested
16.7,17.34,or
17.34,17.78,measured
17.78,18.2,against
18.2,18.48,what
18.48,18.8,modern
18.8,19.24,couples
19.24,19.74,actually
19.74,20.02,want
20.02,20.18,to
20.18,20.48,see.
22.2,22.9,Studio
22.9,23.34,AI
23.34,23.94,changes
23.94,24.38,that.
25.56,26.48,We've
26.48,27.02,analysed
27.02,27.32,wedding
27.32,27.66,buyer
27.66,28.14,"behaviour,"
28.62,29.16,conversion
29.16,29.86,"psychology,"
30.4,30.72,content
30.72,31.3,strategy
31.3,31.92,and
31.92,32.34,user
32.34,33.02,experience
33.02,33.68,research
33.68,34.16,to
34.16,34.42,create
34.42,34.58,a
34.58,35.04,brochure
35.04,35.46,scoring
35.46,36.06,framework
36.06,36.48,built
36.48,37.14,specifically
37.14,37.58,for
37.58,37.86,wedding
37.86,38.34,venues.
39.46,40.38,Simply
40.38,40.8,upload
40.8,41.1,your
41.1,41.6,existing
41.6,42.06,"brochure,"
42.46,43.0,"PDF,"
43.64,43.82,Word
43.82,44.24,document
44.24,45.0,or
45.0,45.18,your
45.18,45.5,current
45.5,45.86,sales
45.86,46.22,pack.
48.84,49.68,Studio
49.68,50.22,AI
50.22,51.06,extracts
51.06,51.18,the
51.18,51.68,"content,"
52.04,52.56,scores
52.56,52.72,it
52.72,53.04,against
53.04,53.4,eight
53.4,53.94,conversion
53.94,54.58,"categories,"
55.02,55.44,identifies
55.44,56.2,"weaknesses,"
56.64,57.02,then
57.02,57.52,creates
57.52,57.7,a
57.7,58.14,rewritten
58.14,58.62,version
58.62,59.02,designed
59.02,59.32,to
59.32,59.74,strengthen
59.74,60.0,the
60.0,60.4,areas
60.4,60.72,most
60.72,61.1,likely
61.1,61.34,to
61.34,61.94,influence
61.94,62.82,enquiries
62.82,63.4,and
63.4,63.96,bookings.
65.06,65.9,Within
65.9,66.48,"moments,"
66.66,66.82,you
66.82,67.2,receive
67.2,67.36,a
67.36,67.78,complete
67.78,68.3,performance
68.3,68.8,"score,"
69.12,69.5,not
69.5,69.84,based
69.84,70.02,on
70.02,70.42,"opinion,"
70.66,71.08,based
71.08,71.26,on
71.26,71.7,proven
71.7,72.28,conversion
72.28,72.84,principles
72.84,73.22,and
73.22,73.54,wedding
73.54,73.92,venue
73.92,74.2,best
74.2,74.66,practice.
76.22,76.78,Every
76.78,77.44,brochure
77.44,77.64,is
77.64,78.28,analysed
78.28,78.48,across
78.48,78.74,the
78.74,79.12,factors
79.12,79.4,that
79.4,80.0,influence
80.0,80.42,buying
80.42,81.0,decisions.
81.38,82.12,Emotional
82.12,82.6,"connection,"
82.94,83.52,venue
83.52,84.16,"differentiation,"
85.0,85.48,social
85.48,85.82,"proof,"
86.46,86.72,call
86.72,86.92,to
86.92,87.3,action
87.3,87.76,"clarity,"
88.36,88.76,pricing
88.76,89.3,"confidence,"
89.9,90.26,visual
90.26,90.92,"storytelling,"
91.62,91.94,practical
91.94,92.64,information
92.64,93.3,and
93.3,93.84,alignment
93.84,94.2,with
94.2,94.38,your
94.38,94.82,ideal
94.82,95.22,couple.
