start,end,word
0.0,0.22,Your
0.22,0.56,couples
0.56,0.8,aren't
0.8,1.28,comparing
1.28,1.52,you
1.52,1.8,against
1.8,2.1,every
2.1,2.54,"venue,"
2.74,3.04,they're
3.04,3.5,comparing
3.5,3.72,you
3.72,4.04,against
4.04,4.24,a
4.24,4.84,shortlist.
5.98,6.78,And
6.78,6.92,if
6.92,7.04,you
7.04,7.3,don't
7.3,7.7,understand
7.7,8.04,how
8.04,8.2,you
8.2,8.48,stack
8.48,8.68,up
8.68,8.94,against
8.94,9.16,that
9.16,9.74,"competition,"
10.18,10.58,you're
10.58,10.9,making
10.9,11.34,marketing
11.34,11.86,decisions
11.86,12.16,in
12.16,12.24,the
12.24,12.62,dark.
14.36,15.16,Competitor
15.16,15.72,intelligence
15.72,16.5,automatically
16.5,17.2,discovers
17.2,17.62,nearby
17.62,18.02,wedding
18.02,18.54,venues
18.54,19.0,based
19.0,19.18,on
19.18,19.36,your
19.36,19.92,"location,"
20.34,20.6,venue
20.6,20.96,type
20.96,21.38,and
21.38,21.72,market
21.72,22.26,"positioning,"
22.66,23.06,from
23.06,23.62,barns
23.62,23.78,and
23.78,24.16,country
24.16,24.56,houses
24.56,25.04,to
25.04,25.58,"hotels,"
25.94,26.52,estates
26.52,26.98,and
26.98,27.62,exclusive
27.62,27.96,-use
27.96,28.46,venues.
30.0,30.64,Simply
30.64,31.12,select
31.12,31.34,the
31.34,31.72,venues
31.72,31.92,you
31.92,32.08,want
32.08,32.24,to
32.24,32.62,track.
33.5,33.92,Studio
33.92,34.34,AI
34.34,34.7,then
34.7,35.22,analyses
35.22,35.66,each
35.66,36.32,competitor
36.32,36.94,using
36.94,37.14,the
37.14,37.44,same
37.44,37.92,scoring
37.92,38.56,framework
38.56,39.16,applied
39.16,39.42,to
39.42,39.64,your
39.64,39.8,own
39.8,40.2,venue.
41.4,42.24,This
42.24,42.64,creates
42.64,42.82,a
42.82,43.08,like
43.08,43.26,-for
43.26,43.48,-like
43.48,44.14,comparison
44.14,44.72,across
44.72,44.98,the
44.98,45.38,areas
45.38,45.6,that
45.6,46.08,influence
46.08,46.72,enquiry
46.72,46.98,and
46.98,47.26,booking
47.26,47.88,"decisions,"
48.12,49.02,"positioning,"
49.44,50.02,"pricing,"
50.4,50.92,social
50.92,51.28,"proof,"
51.82,52.06,calls
52.06,52.22,to
52.22,52.62,"action,"
53.18,53.56,brand
53.56,54.02,strength
54.02,54.66,and
54.66,55.18,overall
55.18,56.0,conversion
56.0,56.86,effectiveness.
58.14,59.06,Rather
59.06,59.3,than
59.3,59.72,spending
59.72,60.16,hours
60.16,60.64,manually
60.64,61.28,reviewing
61.28,61.86,competitor
61.86,62.52,"websites,"
63.1,63.42,Studio
63.42,63.86,AI
63.86,64.5,highlights
64.5,64.72,the
64.72,65.16,strengths
65.16,65.42,they
65.42,65.86,"promote,"
66.16,66.66,the
66.66,67.14,weaknesses
67.14,67.48,they
67.48,68.1,expose
68.1,68.78,and
68.78,68.94,the
68.94,69.56,opportunities
69.56,69.88,they
69.88,70.18,leave
70.18,70.7,behind.
72.36,72.82,Every
72.82,73.28,finding
73.28,73.56,can
73.56,73.72,be
73.72,74.2,"reviewed,"
74.62,75.18,confirmed
75.18,75.74,or
75.74,76.24,"dismissed,"
76.76,77.2,giving
77.2,77.38,you
77.38,77.84,complete
77.84,78.36,control
78.36,78.72,over
78.72,78.88,the
78.88,79.22,final
79.22,79.82,intelligence
79.82,80.3,used
80.3,80.56,within
80.56,80.78,your
80.78,81.38,reports.
82.62,83.46,Once
83.46,84.0,competitor
84.0,84.56,analysis
84.56,84.88,is
84.88,85.38,"complete,"
85.98,86.32,Studio
86.32,86.82,AI
86.82,87.46,produces
87.46,87.68,a
87.68,88.06,clear
88.06,88.38,gap
88.38,88.94,"analysis,"
89.38,89.92,showing
89.92,90.22,where
90.22,90.44,you're
90.44,90.78,"leading,"
91.16,91.54,where
91.54,91.74,you're
91.74,92.34,competitive
92.34,93.12,and
93.12,93.3,where
93.3,93.52,you're
93.52,93.8,falling
93.8,94.34,behind.
95.7,96.54,More
96.54,97.2,"importantly,"
97.64,97.98,it
97.98,98.56,explains
98.56,98.9,what
98.9,99.06,to
99.06,99.26,do
99.26,99.54,about
99.54,99.86,"it,"
100.24,100.86,turning
100.86,101.46,competitive
101.46,102.04,insight
102.04,102.4,into
102.4,102.94,practical
102.94,103.78,recommendations
103.78,104.18,your
104.18,104.56,team
104.56,104.82,can
104.82,105.3,actually
105.3,105.8,implement.
107.08,107.88,This
107.88,108.16,isn't
108.16,108.42,about
108.42,108.88,copying
108.88,109.18,other
109.18,109.64,"venues,"
109.98,110.4,it's
110.4,110.68,about
110.68,111.26,understanding
111.26,111.54,your
111.54,112.02,"market,"
112.48,113.06,identifying
113.06,113.82,opportunities
113.82,114.22,others
114.22,114.46,have
114.46,114.9,missed
114.9,115.42,and
115.42,115.82,creating
115.82,116.02,a
116.02,116.36,stronger
116.36,116.76,reason
116.76,117.0,for
117.0,117.36,couples
117.36,117.58,to
117.58,117.9,choose
117.9,118.12,"you,"
118.38,118.8,the
118.8,119.34,intelligence
119.34,120.06,behind
120.06,120.62,every
120.62,120.96,booking.
122.2,123.0,Because
123.0,123.26,when
123.26,123.4,you
123.4,123.86,combine
123.86,124.34,website
124.34,125.04,"performance,"
125.52,125.96,competitive
125.96,126.62,positioning
126.62,127.24,and
127.24,127.78,enquiry
127.78,128.26,conversion
128.26,128.7,"data,"
129.1,129.48,you
129.48,129.78,start
129.78,129.96,to
129.96,130.14,see
130.14,130.3,the
130.3,130.66,complete
130.66,131.14,picture.
133.12,133.64,But
133.64,133.98,seeing
133.98,134.16,the
134.16,134.42,gap
134.42,134.74,is
134.74,134.96,only
134.96,135.2,half
135.2,135.4,the
135.4,135.76,job.
136.16,136.68,Closing
136.68,136.92,it
136.92,137.18,is
137.18,137.4,where
