start,end,word
0.0,0.34,Every
0.34,0.62,wedding
0.62,1.0,venue
1.0,1.34,wants
1.34,1.64,more
1.64,2.2,bookings.
3.36,4.08,But
4.08,4.44,couples
4.44,4.72,don't
4.72,5.0,always
5.0,5.36,choose
5.36,5.54,the
5.54,5.76,best
5.76,6.1,venue.
6.4,6.84,They
6.84,7.14,often
7.14,7.5,choose
7.5,7.66,the
7.66,7.98,venue
7.98,8.24,that
8.24,8.66,responds
8.66,9.18,first.
10.8,11.16,And
11.16,11.3,in
11.3,11.72,today's
11.72,12.06,"market,"
12.4,12.68,the
12.68,12.94,first
12.94,13.4,response
13.4,13.84,usually
13.84,14.22,wins
14.22,14.42,the
14.42,14.72,tour.
15.62,16.34,That's
16.34,16.5,why
16.5,16.68,we
16.68,17.04,built
17.04,17.76,VenueBot
17.76,18.28,Convert.
20.6,21.32,Most
21.32,21.68,venues
21.68,22.08,believe
22.08,22.3,they're
22.3,22.7,responding
22.7,23.18,quickly.
23.52,23.94,The
23.94,24.32,reality
24.32,24.62,is
24.62,24.9,very
24.9,25.3,different.
26.52,27.3,Convert.
27.3,27.72,Enquiries
27.72,28.12,arrive
28.12,28.4,during
28.4,28.96,"evenings,"
29.34,29.82,"weekends,"
30.2,30.6,"holidays,"
30.98,31.36,while
31.36,31.52,your
31.52,31.76,team
31.76,31.94,is
31.94,32.34,conducting
32.34,32.88,"tours,"
33.22,33.66,serving
33.66,34.16,events
34.16,34.7,or
34.7,35.04,simply
35.04,35.32,away
35.32,35.56,from
35.56,35.68,the
35.68,36.12,office.
36.88,37.66,Every
37.66,37.9,hour
37.9,38.1,that
38.1,38.5,passes
38.5,39.16,increases
39.16,39.44,the
39.44,39.8,chance
39.8,40.02,that
40.02,40.16,the
40.16,40.42,couple
40.42,40.82,speaks
40.82,41.02,to
41.02,41.32,somebody
41.32,41.7,else.
43.24,44.02,Convert
44.02,44.42,removes
44.42,44.76,that
44.76,45.08,delay
45.08,45.7,completely.
47.58,48.36,Most
48.36,48.8,venues
48.8,49.18,follow
49.18,49.4,up
49.4,49.84,"once,"
50.08,50.48,maybe
50.48,50.92,twice.
51.3,51.7,Then
51.7,51.84,the
51.84,52.32,enquiry
52.32,52.58,goes
52.58,53.04,quiet.
54.04,55.0,But
55.0,55.4,couples
55.4,55.68,don't
55.68,55.88,make
55.88,56.0,a
56.0,56.26,£10
56.26,56.74,",000"
56.74,56.94,to
56.94,57.26,£20
57.26,57.7,",000"
57.7,58.42,venue
58.42,58.88,decision
58.88,59.38,overnight.
60.58,61.06,That's
61.06,61.22,why
61.22,61.7,Convert
61.7,62.32,continues
62.32,62.8,nurturing
62.8,63.38,every
63.38,64.0,enquiry
64.0,64.48,for
64.48,64.66,more
64.66,64.8,than
64.8,65.18,50
65.18,65.66,"days,"
65.94,66.44,across
66.44,66.94,"email,"
67.48,68.0,SMS
68.0,68.66,and
68.66,69.1,WhatsApp.
69.88,70.76,Not
70.76,70.98,with
70.98,71.48,repetitive
71.48,72.06,"reminders,"
72.42,72.88,but
72.88,73.1,with
73.1,73.62,"timely,"
73.92,74.4,relevant
74.4,75.14,conversations
75.14,75.68,designed
75.68,76.04,to
76.04,76.28,keep
76.28,76.76,momentum
76.76,77.26,moving
77.26,77.6,towards
77.6,77.86,a
77.86,78.14,tour.
