start,end,word
0.0,0.34,Every
0.34,0.72,message
0.72,1.18,gives
1.18,1.58,couples
1.58,1.82,the
1.82,2.3,opportunity
2.3,2.7,to
2.7,2.96,ask
2.96,3.52,"questions,"
3.84,4.22,just
4.22,4.4,as
4.4,4.58,they
4.58,4.8,would
4.8,5.0,with
5.0,5.1,a
5.1,5.3,member
5.3,5.5,of
5.5,5.62,your
5.62,6.06,team.
7.78,8.46,The
8.46,8.76,difference
8.76,9.16,is
9.16,9.4,they
9.4,9.68,don't
9.68,9.84,need
9.84,10.0,to
10.0,10.26,wait
10.26,10.46,for
10.46,10.8,office
10.8,11.2,hours.
11.52,12.12,Questions
12.12,12.54,are
12.54,13.06,answered
13.06,13.8,"instantly,"
14.2,14.66,day
14.66,15.14,or
15.14,15.54,"night,"
16.14,16.32,without
16.32,16.58,the
16.58,17.12,enquiry
17.12,17.44,being
17.44,17.72,left
17.72,18.22,waiting.
19.12,19.76,Whether
19.76,20.02,they're
20.02,20.34,asking
20.34,20.64,about
20.64,20.92,guest
20.92,21.42,"numbers,"
21.82,23.02,"accommodation,"
23.86,24.84,"availability,"
25.78,26.54,"pricing,"
26.78,27.88,or
27.88,28.1,whether
28.1,28.3,the
28.3,28.68,family
28.68,28.98,dog
28.98,29.18,can
29.18,29.32,be
29.32,29.58,part
29.58,29.7,of
29.7,29.82,the
29.82,30.12,day.
31.9,32.54,The
32.54,33.12,conversation
33.12,33.54,keeps
33.54,33.96,moving.
35.4,36.04,And
36.04,36.18,when
36.18,36.32,a
36.32,36.54,couple
36.54,36.74,is
36.74,36.98,ready
36.98,37.18,to
37.18,37.38,take
37.38,37.52,the
37.52,37.76,next
37.76,38.18,"step,"
38.58,39.14,VenueBot
39.14,39.5,doesn't
39.5,39.68,just
39.68,40.02,suggest
40.02,40.24,a
40.24,40.48,tour.
42.86,43.5,It
43.5,43.8,books
43.8,44.14,one.
47.14,47.74,Convert
47.74,48.34,integrates
48.34,48.84,directly
48.84,49.12,with
49.12,49.44,Google
49.44,49.94,"Calendar,"
50.34,50.82,"Outlook,"
51.06,51.62,"HubSpot,"
51.74,52.04,and
52.04,52.22,your
52.22,52.66,existing
52.66,53.02,wedding
53.02,53.6,operational
53.6,54.24,systems.
54.44,54.98,So
54.98,55.1,the
55.1,55.36,moment
55.36,55.58,a
55.58,55.76,couple
55.76,56.14,chooses
56.14,56.4,a
56.4,56.74,"time,"
56.96,57.16,the
57.16,57.4,tour
57.4,57.6,is
57.6,57.72,in
57.72,57.86,your
57.86,58.26,diary.
58.54,58.92,The
58.92,59.14,couple
59.14,59.4,gets
59.4,59.52,a
59.52,60.1,confirmation.
60.46,60.82,Your
60.82,61.12,team
61.12,61.38,gets
61.38,61.5,a
61.5,62.16,notification.
63.58,64.18,No
64.18,64.44,back
64.44,64.56,and
64.56,64.96,forth.
65.22,65.66,No
65.66,65.94,double
65.94,66.52,bookings.
66.76,67.14,No
67.14,67.5,couples
67.5,67.8,slipping
67.8,68.14,through
68.14,68.48,because
68.48,68.82,nobody
68.82,69.06,was
69.06,69.28,free
69.28,69.46,to
69.46,69.66,take
69.66,69.78,the
69.78,70.12,call.
