start,end,word
0.0,0.18,And
0.18,0.3,it
0.3,0.58,isn't
0.58,0.9,only
0.9,1.6,SMS.
3.06,3.78,The
3.78,4.08,same
4.08,4.44,AI
4.44,4.8,can
4.8,5.38,support
5.38,6.12,enquiries
6.12,6.4,through
6.4,6.6,your
6.6,7.12,"website,"
7.46,8.12,"Facebook,"
8.56,9.0,"Instagram,"
9.56,10.0,WhatsApp
10.0,10.72,and
10.72,11.02,other
11.02,11.46,messaging
11.46,12.0,channels.
13.76,14.48,Wherever
14.48,14.76,a
14.76,15.0,couple
15.0,15.38,starts
15.38,15.52,a
15.52,16.2,"conversation,"
16.7,17.34,VenueBot
17.34,17.6,is
17.6,17.9,ready
17.9,18.1,to
18.1,18.52,continue
18.52,18.86,"it,"
19.24,19.78,trained
19.78,20.0,on
20.0,20.14,your
20.14,20.5,venue
20.5,20.92,and
20.92,21.08,how
21.08,21.24,you
21.24,21.6,actually
21.6,21.9,talk
21.9,22.2,about
22.2,22.5,"it,"
22.82,23.48,providing
23.48,24.06,"helpful,"
24.3,24.7,accurate
24.7,25.18,answers
25.18,25.5,around
25.5,25.68,the
25.68,26.06,clock.
27.24,28.12,More
28.12,28.82,"conversations,"
29.4,29.86,more
29.86,30.22,venue
30.22,30.66,"tours,"
31.02,31.46,more
31.46,32.16,opportunities
32.16,32.82,progressing
32.82,33.12,through
33.12,33.32,your
33.32,33.9,pipeline.
36.4,37.28,Venues
37.28,37.64,using
37.64,38.24,Convert
38.24,38.86,typically
38.86,39.22,see
39.22,39.52,tour
39.52,40.04,conversion
40.04,40.48,rates
40.48,40.94,increase
40.94,41.32,by
41.32,41.8,30
41.8,42.2,to
42.2,42.9,50%.
44.14,45.02,Not
45.02,45.36,because
45.36,45.56,they
45.56,45.96,suddenly
45.96,46.5,receive
46.5,46.76,more
46.76,47.42,"enquiries,"
47.68,47.98,but
47.98,48.3,because
48.3,48.7,fewer
48.7,49.38,enquiries
49.38,49.56,are
49.56,49.98,lost.
51.2,51.92,No
51.92,52.26,missed
52.26,52.96,opportunities.
53.48,53.84,No
53.84,54.24,forgotten
54.24,54.62,follow
54.62,54.94,-up.
55.12,55.42,No
55.42,55.76,couple
55.76,56.14,booking
56.14,56.46,another
56.46,56.9,venue
56.9,57.32,simply
57.32,57.66,because
57.66,57.88,they
57.88,58.3,replied
58.3,58.64,first.
58.64,58.66,No
58.66,58.92,missed.
58.98,59.26,No
59.26,59.26,missed.
