start,end,word
0.0,0.64,"VenueBot,"
0.76,1.26,Convert.
2.72,3.4,Respond
3.4,3.8,"first,"
4.14,4.44,follow
4.44,4.64,up
4.64,5.32,"consistently,"
5.9,6.12,win
6.12,6.38,more
6.38,6.92,bookings.
8.74,9.42,Studio
9.42,9.84,AI
9.84,10.24,helps
10.24,10.38,you
10.38,10.8,understand
10.8,11.08,where
11.08,11.66,opportunities
11.66,12.02,are
12.02,12.22,being
12.22,12.64,lost.
12.94,13.58,Convert
13.58,13.98,helps
13.98,14.14,you
14.14,14.46,recover
14.46,14.7,them.
15.82,16.5,But
16.5,16.74,every
16.74,17.32,"enquiry,"
17.56,18.14,"conversation,"
18.46,18.78,tour
18.78,19.04,and
19.04,19.42,booking
19.42,20.02,still
20.02,20.4,needs
20.4,20.52,a
20.52,20.86,"home,"
21.2,21.74,somewhere
21.74,21.98,your
21.98,22.26,team
22.26,22.48,can
22.48,22.72,see
22.72,23.36,exactly
23.36,23.7,what's
23.7,24.04,happening.
25.48,26.16,That's
26.16,26.32,where
26.32,26.9,VenueBot
26.9,27.16,Care
27.16,27.56,comes
27.56,27.78,in.
