start,end,word
0.0,0.18,The
0.18,0.36,most
0.36,0.8,powerful
0.8,1.32,feature
1.32,1.74,isn't
1.74,2.02,another
2.02,2.52,dashboard.
4.1,4.66,It's
4.66,4.78,the
4.78,5.04,fact
5.04,5.26,you
5.26,5.4,no
5.4,5.66,longer
5.66,5.86,need
5.86,6.02,to
6.02,6.32,learn
6.32,6.52,the
6.52,6.94,software.
7.3,7.56,You
7.56,7.9,simply
7.9,8.18,tell
8.18,8.3,it
8.3,8.44,what
8.44,8.58,you
8.58,8.92,"want,"
9.1,9.5,such
9.5,9.84,as
10.66,11.22,Show
11.22,11.38,me
11.38,11.66,every
11.66,12.28,enquiry
12.28,12.56,from
12.56,12.68,the
12.68,12.94,last
12.94,13.26,30
13.26,13.72,days.
14.6,15.16,Create
15.16,15.38,a
15.38,15.68,landing
15.68,16.12,page
16.12,16.36,for
16.36,16.5,our
16.5,16.74,next
16.74,17.02,wedding
17.02,17.62,showcase.
18.18,18.74,Send
18.74,19.02,John
19.02,19.22,and
19.22,19.56,Sarah
19.56,19.72,the
19.72,19.98,autumn
19.98,20.28,wedding
20.28,20.74,brochure
20.74,20.9,and
20.9,21.22,invite
21.22,21.42,them
21.42,21.56,to
21.56,21.72,book
21.72,21.9,a
21.9,22.1,tour.
22.42,22.96,It
22.96,23.08,can
23.08,23.26,even
23.26,23.58,answer
23.58,23.74,the
23.74,24.12,questions
24.12,24.44,you'd
24.44,24.74,normally
24.74,24.98,need
24.98,25.1,a
25.1,25.46,report
25.46,25.8,for.
25.8,27.08,Which
27.08,27.6,marketing
27.6,28.06,source
28.06,28.64,generated
28.64,28.88,the
28.88,29.1,most
29.1,29.5,bookings
29.5,29.7,this
29.7,30.04,month?
30.54,31.2,No
31.2,31.58,reports
31.58,31.78,to
31.78,32.1,"build,"
32.3,32.62,no
32.62,32.96,menus
32.96,33.18,to
33.18,33.58,"navigate,"
34.28,34.38,no
34.38,34.74,hunting
34.74,35.04,through
35.04,35.54,screens
35.54,35.8,trying
35.8,35.94,to
35.94,36.14,find
36.14,36.28,the
36.28,36.44,right
36.44,36.8,button.
38.52,39.2,You
39.2,39.6,ask.
39.88,40.28,The
40.28,40.6,system
40.6,40.84,does
40.84,40.98,the
40.98,41.38,work.
