start,end,word
0.0,0.18,And
0.18,0.38,this
0.38,0.52,is
0.52,0.72,only
0.72,0.86,the
0.86,1.22,beginning.
1.62,2.24,Every
2.24,2.66,"week,"
2.84,3.24,new
3.24,3.64,AI
3.64,4.32,capabilities
4.32,4.78,are
4.78,5.06,added
5.06,5.26,to
5.26,5.38,the
5.38,5.88,platform.
6.2,6.58,New
6.58,7.32,"automations,"
7.66,8.12,new
8.12,9.1,"integrations,"
9.4,9.84,new
9.84,10.2,ways
10.2,10.44,to
10.44,10.72,save
10.72,11.1,time
11.1,11.32,and
11.32,11.82,improve
11.82,12.44,performance.
13.82,14.56,The
14.56,14.88,system
14.88,15.06,you
15.06,15.56,install
15.56,16.0,today
16.0,16.54,won't
16.54,16.68,be
16.68,16.82,the
16.82,17.06,same
17.06,17.48,system
17.48,17.74,you're
17.74,18.06,using
18.06,18.44,six
18.44,18.78,months
18.78,19.0,from
19.0,19.24,now.
19.46,19.9,It'll
19.9,20.02,be
20.02,20.5,"smarter,"
21.04,21.64,faster
21.64,22.32,and
22.32,22.5,more
22.5,22.96,productive.
24.76,25.44,And
25.44,25.88,unlike
25.88,26.22,most
26.22,26.68,"software,"
26.98,27.24,you
27.24,27.46,don't
27.46,27.6,have
27.6,27.72,to
27.72,28.0,build
28.0,28.3,any
28.3,28.48,of
28.48,28.68,this
28.68,29.12,yourself.
29.52,29.96,We
29.96,30.26,build
30.26,30.48,"it,"
30.68,31.04,we
31.04,31.68,customise
31.68,31.94,"it,"
32.18,32.54,we
32.54,32.94,install
32.94,33.26,"it,"
33.54,33.82,we
33.82,34.16,maintain
34.16,34.66,it
34.66,35.1,and
35.1,35.26,we
35.26,35.84,continually
35.84,36.28,improve
36.28,36.64,it.
38.12,38.46,This
38.46,38.6,is
38.6,38.8,White
38.8,39.2,"Glove,"
39.36,39.76,done
39.76,39.92,with
39.92,40.12,"you,"
40.58,40.78,done
40.78,41.1,for
41.1,41.3,you.
42.34,43.02,You
43.02,43.36,focus
43.36,43.56,on
43.56,43.96,creating
43.96,44.66,unforgettable
44.66,45.12,"weddings,"
45.42,45.78,we'll
45.78,46.06,handle
46.06,46.22,the
46.22,46.72,technology.
47.76,48.5,As
48.5,48.64,your
48.64,48.88,venue
48.88,49.34,"grows,"
49.6,49.84,the
49.84,50.22,platform
50.22,50.62,grows
50.62,50.84,with
50.84,51.06,you.
52.22,52.96,Unlimited
52.96,53.48,"users,"
53.8,54.44,unlimited
54.44,55.08,"records,"
55.72,56.04,unlimited
56.04,56.86,"conversations,"
57.74,57.92,no
57.92,58.26,hidden
58.26,58.66,growth
58.66,59.2,"penalties,"
59.88,60.12,no
60.12,60.74,artificial
60.74,61.48,ceilings.
63.07,63.44,And
63.44,63.64,with
63.64,64.28,integration
64.28,64.6,to
64.6,65.12,99
65.12,65.52,%
65.52,65.78,of
65.78,65.92,the
65.92,66.22,tools
66.22,66.42,you
66.42,66.76,already
66.76,67.32,"use,"
67.88,68.42,VenueBot
68.42,68.78,fits
68.78,69.08,around
69.08,69.26,the
69.26,69.62,systems
69.62,69.84,you
69.84,70.16,already
70.16,70.66,"have,"
71.06,71.64,not
71.64,71.76,the
71.76,71.94,other
71.94,72.12,way
72.12,72.56,around.
73.72,74.46,The
74.46,74.82,system
74.82,75.12,does
75.12,75.28,the
75.28,75.64,work.
