start,end,word
0.0,0.44,Studio
0.44,0.86,AI
0.86,1.26,brings
1.26,1.5,more
1.5,1.86,couples
1.86,2.06,to
2.06,2.22,your
2.22,2.6,"venue,"
3.0,3.44,Convert
3.44,3.8,turns
3.8,4.08,more
4.08,4.82,enquiries
4.82,5.1,into
5.1,5.54,"tours,"
6.18,6.34,Care
6.34,6.68,gives
6.68,6.84,your
6.84,7.24,entire
7.24,7.64,team
7.64,8.04,one
8.04,8.4,place
8.4,8.54,to
8.54,8.72,run
8.72,8.86,the
8.86,9.34,business.
11.02,11.4,Three
11.4,11.88,"modules,"
12.22,12.48,one
12.48,12.96,"platform,"
13.3,13.68,one
13.68,14.04,"goal,"
14.3,14.62,more
14.62,15.22,bookings.
17.36,18.12,VenueBot.
19.44,20.2,Stop
20.2,20.6,losing
20.6,21.62,"enquiries,"
22.02,22.34,start
22.34,22.6,booking
22.6,22.88,more
22.88,23.24,tours.
