start,end,word
0.0,0.38,Every
0.38,0.72,wedding
0.72,1.12,venue
1.12,1.52,starts
1.52,1.72,the
1.72,1.98,same
1.98,2.3,way.
2.66,3.02,A
3.02,3.2,few
3.2,3.8,"enquiries,"
4.14,4.28,a
4.28,4.42,few
4.42,5.14,"spreadsheets,"
5.4,5.56,a
5.56,5.9,shared
5.9,6.36,inbox.
7.72,8.44,Then
8.44,8.58,the
8.58,8.94,business
8.94,9.4,grows.
10.02,10.32,Email
10.32,10.68,"here,"
11.04,11.44,WhatsApp
11.44,11.84,"there,"
12.44,12.74,Facebook
12.74,13.0,on
13.0,13.44,someone's
13.44,13.8,"phone,"
14.58,14.96,Instagram
14.96,15.34,on
15.34,15.64,someone
15.64,16.16,"else's,"
16.62,16.9,notes
16.9,17.08,in
17.08,17.18,a
17.18,17.64,"spreadsheet,"
18.26,18.7,bookings
18.7,18.88,in
18.88,18.96,a
18.96,19.34,diary.
20.84,21.2,And
21.2,21.44,before
21.44,21.78,long
21.78,22.06,nobody
22.06,22.4,knows
22.4,22.62,where
22.62,23.06,everything
23.06,23.5,lives.
25.04,25.8,Care
25.8,26.18,brings
26.18,26.3,it
26.3,26.46,all
26.46,26.78,together.
27.34,27.52,One
27.52,27.96,"system,"
28.36,28.6,one
28.6,28.96,"team,"
29.42,29.62,one
29.62,30.0,source
30.0,30.18,of
30.18,30.48,truth.
31.52,32.28,For
32.28,32.4,the
32.4,32.62,first
32.62,33.0,"time,"
33.22,33.4,you
33.4,33.52,can
33.52,33.7,see
33.7,34.12,exactly
34.12,34.44,what's
34.44,34.72,happening
34.72,35.02,across
35.02,35.24,the
35.24,35.64,entire
35.64,36.04,venue.
37.68,38.44,Live
38.44,39.14,"dashboards,"
39.6,39.74,showing
39.74,40.08,lead
40.08,40.52,"sources,"
40.94,41.3,conversion
41.3,41.68,"rates,"
42.06,42.24,tour
42.24,42.76,"bookings,"
43.16,43.46,marketing
43.46,44.02,"performance,"
44.58,44.92,revenue
44.92,45.52,pipelines.
46.64,47.4,No
47.4,47.82,manual
47.82,48.42,"reports,"
48.7,49.04,no
49.04,49.48,spreadsheet
49.48,50.0,"gymnastics,"
50.48,50.78,just
50.78,50.94,the
50.94,51.18,numbers
51.18,51.34,that
51.34,51.66,"matter,"
52.18,52.62,updated
52.62,53.22,automatically.
54.94,55.66,Then
55.66,55.88,there's
55.88,56.48,"communication,"
56.78,57.16,every
57.16,57.72,"conversation,"
58.16,58.38,every
58.38,58.96,"enquiry,"
59.22,59.52,every
59.52,60.0,"message,"
60.16,60.48,in
60.48,60.66,one
60.66,61.16,timeline.
63.04,63.76,"Email,"
63.76,64.48,"SMS,"
65.08,65.4,"WhatsApp,"
65.96,66.28,"Facebook,"
66.76,67.14,"Instagram,"
67.62,67.84,phone
67.84,68.02,call
68.02,68.72,"transcripts,"
69.04,69.4,website
69.4,69.86,chatbot
69.86,70.48,conversations.
72.16,72.88,Everything
72.88,73.24,stored
73.24,73.54,against
73.54,73.68,the
73.68,74.04,couple's
74.04,74.44,record.
74.74,75.12,No
75.12,75.34,more
75.34,75.7,hunting
75.7,76.08,through
76.08,76.46,six
76.46,76.8,different
76.8,77.44,inboxes
77.44,77.64,trying
77.64,77.8,to
77.8,78.02,find
78.02,78.2,what
78.2,78.56,somebody
78.56,79.02,said
79.02,79.44,three
79.44,79.72,weeks
79.72,80.0,ago.
82.7,83.52,Every
83.52,83.86,member
83.86,84.08,of
84.08,84.26,your
84.26,84.66,team
84.66,85.2,works
85.2,85.4,from
85.4,85.88,exactly
85.88,86.14,the
86.14,86.36,same
86.36,86.96,information.
87.32,87.78,Your
87.78,88.1,wedding
88.1,89.0,"coordinators,"
89.38,89.84,sales
89.84,90.24,"team,"
90.72,91.1,"owners,"
91.64,91.94,event
91.94,92.4,managers.
94.44,95.26,Everyone
95.26,95.82,sees
95.82,96.04,the
96.04,96.34,same
96.34,97.1,"conversations,"
97.58,97.72,the
97.72,98.02,same
98.02,98.44,"notes,"
98.86,98.98,the
98.98,99.28,same
99.28,99.74,history.
101.02,101.86,No
101.86,102.34,private
102.34,103.14,inboxes.
103.36,103.82,No
103.82,104.54,duplicated
104.54,105.12,records.
105.5,105.94,No
105.94,106.36,losing
106.36,106.78,years
106.78,107.0,of
107.0,107.34,knowledge
107.34,107.64,when
107.64,107.8,a
107.8,108.0,team
108.0,108.3,member
108.3,108.74,leaves.
108.74,108.74,No
108.74,108.74,"leaving,"
108.74,108.74,no
108.74,108.74,"leaving,"
108.74,108.74,no
108.74,108.74,"leaving,"
108.74,108.74,no
108.74,108.74,"leaving,"
108.74,108.74,no
