start,end,word
0.0,0.5,Calendars
0.5,0.74,sync
0.74,1.16,directly
1.16,1.34,with
1.34,1.6,Google
1.6,1.86,and
1.86,2.38,Microsoft.
2.72,3.1,Two
3.1,3.38,"-way,"
3.56,3.94,in
3.94,4.18,real
4.18,4.5,-time.
6.1,6.7,"Tours,"
6.9,7.32,"meetings,"
7.7,8.12,venue
8.12,8.64,"events,"
9.04,9.26,blocked
9.26,9.64,"dates,"
10.16,10.36,staff
10.36,10.88,availability.
12.12,12.72,And
12.72,12.9,when
12.9,13.42,VenueBot
13.42,13.66,books
13.66,13.8,a
13.8,14.04,"tour,"
14.24,14.52,it
14.52,14.84,appears
14.84,15.36,instantly
15.36,15.6,where
15.6,15.74,your
15.74,16.04,team
16.04,16.48,already
16.48,17.0,works.
17.26,17.56,No
17.56,17.78,double
17.78,18.1,"entry,"
18.38,18.68,no
18.68,18.98,diary
18.98,19.42,"clashes,"
19.7,19.96,no
19.96,20.3,manual
20.3,20.76,updates.
22.52,23.12,Every
23.12,23.42,venue
23.42,23.68,has
23.68,23.82,its
23.82,24.1,own
24.1,24.42,sales
24.42,24.88,"process,"
25.08,25.4,so
25.4,25.64,every
25.64,25.94,venue
25.94,26.18,gets
26.18,26.34,its
26.34,26.56,own
26.56,27.02,pipeline.
28.12,28.92,First
28.92,29.54,"enquiry,"
29.74,30.46,information
30.46,30.94,"sent,"
31.38,31.52,tour
31.52,31.82,"booked,"
32.26,32.44,tour
32.44,32.92,"completed,"
33.42,33.9,proposal
33.9,34.32,"sent,"
34.9,35.08,booking
35.08,35.68,confirmed.
37.24,38.04,Move
38.04,38.16,a
38.16,38.4,couple
38.4,38.64,from
38.64,38.84,one
38.84,39.16,stage
39.16,39.36,to
39.36,39.68,another
39.68,40.06,and
40.06,40.18,the
40.18,40.5,entire
40.5,40.88,system
40.88,41.28,updates
41.28,41.64,around
41.64,41.88,them.
42.34,43.02,"Automations,"
43.32,43.92,"tasks,"
44.38,45.04,"communications,"
45.72,45.92,follow
45.92,46.22,"-up,"
46.54,46.9,all
46.9,47.38,adjusted
47.38,48.04,automatically.
50.12,51.0,Automations
51.0,51.38,handle
51.38,51.62,the
51.62,52.08,repetitive
52.08,52.62,work
52.62,52.9,that
52.9,53.34,consumes
53.34,53.82,hours
53.82,54.12,every
54.12,54.5,week.
54.78,55.62,Enquiry
55.62,56.22,"responses,"
56.66,57.24,brochure
57.24,57.68,"delivery,"
58.28,58.54,tour
58.54,59.36,"confirmations,"
60.08,60.22,follow
60.22,60.44,-up
60.44,60.9,"reminders,"
61.58,61.76,thank
61.76,61.96,you
61.96,62.38,"messages,"
63.04,63.36,database
63.36,64.4,reactivation
64.4,65.0,campaigns.
66.74,67.18,Even
67.18,68.0,personalised
68.0,68.4,agreements
68.4,68.8,and
68.8,69.24,terms
69.24,69.52,can
69.52,69.66,be
69.66,70.16,generated
70.16,70.42,and
70.42,70.86,sent
70.86,71.64,automatically.
73.04,73.76,Built
73.76,74.28,"once,"
74.56,74.98,running
74.98,75.2,every
75.2,75.56,"day,"
75.92,76.1,without
76.1,76.48,anyone
76.48,76.88,touching
76.88,77.14,them.
