start,end,word
0.0,0.18,And
0.18,0.42,because
0.42,0.78,everything
0.78,1.14,lives
1.14,1.58,inside
1.58,1.92,one
1.92,2.44,"platform,"
2.72,2.92,your
2.92,3.32,marketing
3.32,3.82,becomes
3.82,4.34,dramatically
4.34,4.96,simpler.
6.72,7.54,Email
7.54,8.26,"campaigns,"
8.7,9.4,SMS
9.4,10.52,"broadcasts,"
10.68,11.12,landing
11.12,11.62,"pages,"
11.98,12.46,"forms,"
12.84,13.4,website
13.4,13.9,"pages,"
14.54,14.72,social
14.72,15.08,media
15.08,15.6,"publishing,"
16.24,16.4,blog
16.4,16.92,content.
18.44,18.86,No
18.86,19.26,stitching
19.26,19.68,together
19.68,20.14,15
20.14,20.6,different
20.6,21.08,tools
21.08,21.5,just
21.5,21.68,to
21.68,21.88,run
21.88,22.08,your
22.08,22.42,venue.
22.84,23.52,Everything
23.52,23.88,works
23.88,24.04,from
24.04,24.16,the
24.16,24.38,same
24.38,24.82,"data,"
25.12,25.36,the
25.36,25.6,same
25.6,26.2,"contacts,"
26.58,26.7,the
26.7,27.0,same
27.0,27.74,conversations.
30.0,30.42,Then
30.42,30.72,there's
30.72,31.36,"reputation,"
31.76,32.28,because
32.28,32.84,reviews
32.84,33.54,influence
33.54,33.92,almost
33.92,34.38,every
34.38,34.68,booking
34.68,35.1,decision
35.1,35.34,a
35.34,35.54,couple
35.54,36.0,makes.
37.48,38.1,Care
38.1,38.72,automatically
38.72,39.34,requests
39.34,39.88,reviews
39.88,40.4,after
40.4,40.92,"tours,"
41.24,41.64,weddings
41.64,42.16,and
42.16,42.42,key
42.42,42.98,"milestones,"
43.84,44.08,helping
44.08,44.28,you
44.28,44.62,generate
44.62,44.94,more
44.94,45.32,5
45.32,45.6,-star
45.6,46.12,reviews
46.12,46.66,without
46.66,47.1,relying
47.1,47.32,on
47.32,47.44,the
47.44,47.8,team
47.8,48.26,remembering
48.26,48.52,to
48.52,48.9,ask.
50.08,50.8,And
50.8,50.94,if
50.94,51.04,a
51.04,51.38,review
51.38,51.7,looks
51.7,51.9,like
51.9,52.12,it's
52.12,52.32,heading
52.32,52.52,in
52.52,52.6,the
52.6,52.8,wrong
52.8,53.3,"direction,"
53.68,54.1,you'll
54.1,54.34,know
54.34,54.64,before
54.64,54.84,it
54.84,55.16,becomes
55.16,55.3,a
55.3,55.56,public
55.56,56.04,problem.
56.04,56.76,Protect
56.76,57.12,the
57.12,57.7,experience.
58.14,58.56,Protect
58.56,58.8,the
58.8,59.16,rating.
59.54,60.02,Protect
60.02,60.26,the
60.26,60.8,reputation
60.8,61.22,you've
61.22,61.52,worked
61.52,61.92,years
61.92,62.16,to
62.16,62.48,build.
